Conference,Year,level_2,0
cloud,2015,pct_no_big,60.0
cloud,2015,pct_all_none,0.0
cloud,2016,pct_has_big,31.58
cloud,2016,pct_no_big,65.79
cloud,2016,pct_all_none,2.63
cloud,2017,pct_has_big,22.09
cloud,2017,pct_no_big,74.42
cloud,2017,pct_all_none,3.49
cloud,2018,pct_has_big,20.0
cloud,2018,pct_no_big,78.57
cloud,2018,pct_all_none,1.43
cloud,2019,pct_has_big,18.18
cloud,2019,pct_no_big,80.0
cloud,2019,pct_all_none,1.82
cloud,2020,pct_has_big,28.57
cloud,2020,pct_no_big,65.71
cloud,2020,pct_all_none,5.71
cloud,2021,pct_has_big,34.78
cloud,2021,pct_no_big,63.04
cloud,2021,pct_all_none,2.17
cloud,2022,pct_has_big,28.95
cloud,2022,pct_no_big,68.42
cloud,2022,pct_all_none,2.63
cloud,2023,pct_has_big,25.0
cloud,2023,pct_no_big,72.5
cloud,2023,pct_all_none,2.5
cloud,2024,pct_has_big,22.22
cloud,2024,pct_no_big,74.6
cloud,2024,pct_all_none,3.17
europar,2012,pct_has_big,10.53
europar,2012,pct_no_big,88.16
europar,2012,pct_all_none,1.32
europar,2013,pct_has_big,15.49
europar,2013,pct_no_big,80.28
europar,2013,pct_all_none,4.23
europar,2014,pct_has_big,7.35
europar,2014,pct_no_big,92.65
europar,2014,pct_all_none,0.0
europar,2015,pct_has_big,1.89
europar,2015,pct_no_big,98.11
europar,2015,pct_all_none,0.0
europar,2016,pct_has_big,14.0
europar,2016,pct_no_big,80.0
europar,2016,pct_all_none,6.0
europar,2017,pct_has_big,0.0
europar,2017,pct_no_big,98.04
europar,2017,pct_all_none,1.96
europar,2018,pct_has_big,1.75
europar,2018,pct_no_big,96.49
europar,2018,pct_all_none,1.75
europar,2019,pct_has_big,8.33
europar,2019,pct_no_big,91.67
europar,2019,pct_all_none,0.0
europar,2020,pct_has_big,0.0
europar,2020,pct_no_big,97.44
europar,2020,pct_all_none,2.56
europar,2021,pct_has_big,5.26
europar,2021,pct_no_big,94.74
europar,2021,pct_all_none,0.0
europar,2022,pct_has_big,4.0
europar,2022,pct_no_big,96.0
europar,2022,pct_all_none,0.0
europar,2023,pct_has_big,0.0
europar,2023,pct_no_big,97.96
europar,2023,pct_all_none,2.04
europar,2024,pct_has_big,9.09
europar,2024,pct_no_big,90.91
europar,2024,pct_all_none,0.0
eurosys,2012,pct_has_big,37.04
eurosys,2012,pct_no_big,59.26
eurosys,2012,pct_all_none,3.7
eurosys,2013,pct_has_big,35.71
eurosys,2013,pct_no_big,57.14
eurosys,2013,pct_all_none,7.14
eurosys,2014,pct_has_big,33.33
