Conference,Year,Name,Institution,Countries
asplos,2016,Gilles Muller,"INRIA, France",France
asplos,2016,Christopher Hughes,Intel,United States
asplos,2016,Maria Garzaran,"Intel and University of Illinois, Urbana-Champaign",United States
asplos,2016,Lingjia Tang,Michigan,United States
asplos,2016,Ricardo Bianchini,Microsoft Research,United States
asplos,2016,Kathryn McKinley,Microsoft Research,United States
asplos,2016,Madanlal Musuvathi,Microsoft Research,United States
asplos,2016,Karin Strauss,Microsoft Research and University of Washington,United States
asplos,2016,Xipeng Shen,NC State,United States
asplos,2016,Shankar Pasupathy,NetApp,United States
asplos,2016,Gernot Heiser,NICTA and UNSW Australia,Australia
asplos,2016,David Wentzlaff,Princeton University,United States
asplos,2016,Calin Cascaval,Qualcomm,United States
asplos,2016,Dan Tsafrir,Technion - Israel Institute of Technology,Israel
asplos,2016,Wenguang Chen,"Tsinghua University, China",China
asplos,2016,Sam H. Noh,"UNIST (Ulsan National Institute of Science and Technology), Korea","Korea, Republic of"
asplos,2016,Jade Alglave,University College London,United Kingdom
asplos,2016,Koushik Sen,"University of California, Berkeley",United States
asplos,2016,Michael Taylor,"University of California, San Diego",United States
asplos,2016,Sarita Adve,"University of Illinois, Urbana-Champaign",United States
asplos,2016,Jason Flinn,University of Michigan,United States
asplos,2016,Satish Narayanasamy,University of Michigan,United States
asplos,2016,Joe Devietti,University of Pennsylvania,United States
asplos,2016,Chen Ding,University of Rochester,United States
asplos,2016,Emmett Witchel,"University of Texas, Austin",United States
asplos,2016,Ding Yuan,University of Toronto,Canada
asplos,2016,Rajeev Balasubramonian,University of Utah and HP-Labs,United States
asplos,2016,David Wood,"University of Wisconsin, Madison",United States
asplos,2016,Marcos K. Aguilera,VMware Research Group,United States
asplos,2018,Phillip Gibbons,Carnegie Mellon University,United States
asplos,2018,Yungang Bao,China ICT,China
asplos,2018,Xu Liu,College of William & Mary,United States
asplos,2018,Martha Kim,Columbia University,United States
asplos,2018,Jason Nieh,Columbia University,United States
asplos,2018,Christina Delimitrou,Cornell University,United States
asplos,2018,Santosh Pande,Georgia Tech,United States
asplos,2018,Vivek Sarkar,Georgia Tech,United States
asplos,2018,Kathryn S. McKinley,Google,United States
asplos,2018,Kai Shen,Google,United States
asplos,2018,Vivien Quema,Grenoble INP,France
asplos,2018,Kim Keeton,Hewlett-Packard Enterprise,United States
asplos,2018,Haris Volos,Hewlett-Packard Enterprise,United States
asplos,2018,Jeff Stuecheli,IBM,United States
asplos,2018,David Grove,IBM Research,United States
asplos,2018,Uday Bondhugula,Indian Institute of Science,India
asplos,2018,Rajkishore Barik,Intel Labs,United States
asplos,2018,Armando Solar-Lezama,Massachusetts Institute of Technology,United States
asplos,2018,Andrew Baumann,Microsoft Research,United States
asplos,2018,Ricardo Bianchini,Microsoft Research,United States
asplos,2018,Adrian Caulfield,Microsoft Research,United States
asplos,2018,Karin Strauss,Microsoft Research,United States
asplos,2018,Yan Solihin,North Carolina State University,United States
asplos,2018,David Nellans,Nvidia,United States
asplos,2018,Seyong Lee,Oak Ridge National Lab,United States
asplos,2018,Tim Harris,Oracle,United States
asplos,2018,Trent Jaeger,Penn State University,United States
asplos,2018,Mahmut Kandemir,Penn State University,United States
asplos,2018,Yiying Zhang,Purdue University,United States
asplos,2018,Abhishek  Bhattacharjee,Rutgers University,United States
asplos,2018,Rong Chen,Shanghai Jiao Tong University,China
asplos,2018,Arrvindh Shriraman,Simon-Fraser University,Canada
asplos,2018,Mark Silberstein,Technion,Israel
asplos,2018,Dan Tsafrir,Technion and VMware Research Group,Israel
asplos,2018,Rajiv Gupta,University of California at Riverside,United States
asplos,2018,Fred Chong,University of Chicago,United States
asplos,2018,Hank Hoffman,University of Chicago,United States
asplos,2018,Shan Lu,University of Chicago,United States
asplos,2018,Scott Mahlke,University of Michigan at Ann Arbor,United States
asplos,2018,Satish Narayanasamy,University of Michigan at Ann Arbor,United States
asplos,2018,Lingjia Tang,University of Michigan at Ann Arbor,United States
asplos,2018,Thomas Wenisch,University of Michigan at Ann Arbor,United States
