Conference,Year,Title,Predominant Continent,Institutions
asplos,2013,"Regularities considered harmful: forcing randomness to memory accesses to reduce row buffer conflicts for multi-core, multi-bank systems.",AS,University of Pittsburgh; University of Pittsburgh; Dankook University; Seoul National University; Hongik University
asplos,2013,Cyrus: unintrusive application-level record-replay for replay parallelism.,NA,University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; Intel (United States); Intel (United States)
asplos,2013,Why you should care about quantile regression.,NA,University of Waterloo; University of Waterloo; Google (United States); Università della Svizzera italiana; IBM (United States)
asplos,2013,STABILIZER: statistically sound performance evaluation.,NA,University of Massachusetts Amherst; University of Massachusetts Amherst
asplos,2013,A study of the scalability of stop-the-world garbage collectors on multicores.,,
asplos,2013,Discerning the dominant out-of-order performance advantage: is it speculation or dynamism?,NA,Urbana University; Urbana University
asplos,2013,Iago attacks: why the system call API is a bad untrusted RPC interface.,NA,"Johns Hopkins University; University of California, San Diego"
asplos,2013,InkTag: secure applications on an untrusted operating system.,,
asplos,2013,Safe and automatic live update for operating systems.,EU,Vrije Universiteit Amsterdam; Vrije Universiteit Amsterdam; Vrije Universiteit Amsterdam
asplos,2013,Verifying security invariants in ExpressOS.,NA,University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign
asplos,2013,Stochastic superoptimization.,NA,Stanford University; Stanford University; Stanford University
asplos,2013,Automated repair of binary and assembly programs for cooperating embedded devices.,NA,University of New Mexico; University of Virginia; University of Virginia; University of New Mexico
asplos,2013,Verifying systems rules using rule-directed symbolic execution.,NA,Columbia University; Columbia University; Columbia University; Columbia University
asplos,2013,HOTL: a higher order theory of locality.,NA,University of Rochester; University of Rochester; University of Rochester; Adobe Systems (United States)
asplos,2013,To hardware prefetch or not to prefetch?: a virtualized environment study and core binding approach.,NA,Stony Brook University; Stony Brook University
asplos,2013,Demand-based coordinated scheduling for SMP VMs.,AS,Korea Advanced Institute of Science and Technology; Sungkyunkwan University; Korea Advanced Institute of Science and Technology; Sungkyunkwan University; Korea Advanced Institute of Science and Technology
asplos,2013,Traffic management: a holistic approach to memory placement on NUMA systems.,NA,Simon Fraser University; Simon Fraser University; Simon Fraser University; Simon Fraser University; Université Joseph Fourier; Université Grenoble Alpes; Centre National de la Recherche Scientifique; Institut polytechnique de Grenoble; Simon Fraser University
asplos,2013,OWL: cooperative thread array aware scheduling techniques for improving GPGPU performance.,NA,Pennsylvania State University; Pennsylvania State University; Pennsylvania State University; Intel (United States); Pennsylvania State University; Carnegie Mellon University; Intel (United States); Pennsylvania State University
asplos,2013,Improving GPGPU concurrency with elastic kernels.,AS,Indian Institute of Science Bangalore; Indian Institute of Science Bangalore; Indian Institute of Science Bangalore
asplos,2013,Practical automatic loop specialization.,NA,Princeton University; Princeton University; Princeton University; Sungkyunkwan University; Princeton University
asplos,2013,Portable performance on heterogeneous architectures.,NA,Massachusetts Institute of Technology; Massachusetts Institute of Technology; Massachusetts Institute of Technology; Massachusetts Institute of Technology
asplos,2013,Efficient virtualization on embedded power architecture® platforms.,AS,Indian Institute of Technology Delhi; Indian Institute of Technology Delhi; Indian Institute of Technology Delhi
asplos,2013,Unikernels: library operating systems for the cloud.,EU,University of Cambridge; University of Nottingham; University of Cambridge; Citrix (United Kingdom); University of Cambridge; University of Cambridge; University of Cambridge; University of Cambridge
asplos,2013,Fine-grained fault tolerance using device checkpoints.,NA,University of Wisconsin–Madison; University of Wisconsin–Madison; University of Wisconsin–Madison
asplos,2013,GPUfs: integrating a file system with GPUs.,NA,The University of Texas at Austin; Yale University; Technion – Israel Institute of Technology; The University of Texas at Austin
asplos,2013,DDOS: taming nondeterminism in distributed systems.,NA,University of Washington; University of Washington; University of Washington; University of Washington
asplos,2013,TSO_ATOMICITY: efficient hardware primitive for TSO-preserving region optimizations.,NA,Intel (United States); Intel (United States)
asplos,2013,Wait-n-GoTM: improving HTM performance by serializing cyclic dependencies.,NA,Purdue University West Lafayette; Purdue University West Lafayette; Purdue University West Lafayette
asplos,2013,Volition: scalable and precise sequential consistency violation detection.,NA,University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; Universidad de Valladolid; Beihang University
asplos,2013,Hardware support for fine-grained event-driven computation in Anton 2.,NA,D. E. Shaw Research; D. E. Shaw Research; D. E. Shaw Research; D. E. Shaw Research; D. E. Shaw Research; D. E. Shaw Research; D. E. Shaw Research; D. E. Shaw Research; D. E. Shaw Research; D. E. Shaw Research; D. E. Shaw Research; Columbia University
asplos,2014,Scale-out NUMA.,EU,École Polytechnique Fédérale de Lausanne; École Polytechnique Fédérale de Lausanne; École Polytechnique Fédérale de Lausanne; École Polytechnique Fédérale de Lausanne; University of Edinburgh
asplos,2014,Rhythm: harnessing data parallel hardware for server workloads.,NA,Duke University; Duke University; Duke University; Nvidia (United Kingdom); Nvidia (United Kingdom); Duke University
asplos,2014,Paraprox: pattern-based approximation for data parallel applications.,NA,University of Michigan; University of Michigan; University of Michigan; University of Michigan
asplos,2014,Uncertain: a first-order type for uncertain data.,NA,Australian National University; Microsoft (United States); Microsoft (United States)
asplos,2014,Using ARM trustzone to build a trusted language runtime for mobile applications.,NA,University of Lisbon; Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento; Microsoft (United States); Microsoft (United States); Microsoft (United States)
asplos,2014,Virtual ghost: protecting applications from hostile operating systems.,NA,University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign
asplos,2014,Sapper: a language for hardware-level security policy enforcement.,NA,"Meta (United States); Menlo School; University of California, Santa Barbara; University of California, San Diego; The University of Texas at Austin; Advanced Micro Devices (Canada); University of California, San Diego; University of California, Santa Barbara; University of California, Santa Barbara; University of California, Santa Barbara"
asplos,2014,Finding trojan message vulnerabilities in distributed systems.,EU,École Polytechnique Fédérale de Lausanne; École Polytechnique Fédérale de Lausanne; École Polytechnique Fédérale de Lausanne
asplos,2014,Quasar: resource-efficient and QoS-aware cluster management.,NA,Stanford University; Stanford University
asplos,2014,REF: resource elasticity fairness with sharing incentives for multiprocessors.,NA,Duke University; Duke University
asplos,2014,Price theory based power management for heterogeneous multi-cores.,AS,National University of Singapore; National University of Singapore; National University of Singapore
asplos,2014,Underprovisioning backup power infrastructure for datacenters.,NA,Pennsylvania State University; Microsoft (United States); Pennsylvania State University; Microsoft (United States); Microsoft (United States); Microsoft (United States)
asplos,2014,Comprehending performance from real-world execution traces: a device-driver case.,NA,North Carolina State University; Microsoft Research Asia (China); Microsoft Research Asia (China); University of Illinois Urbana-Champaign
asplos,2014,Leveraging the short-term memory of hardware to diagnose production-run software failures.,NA,University of Wisconsin–Madison; University of Wisconsin–Madison; University of Wisconsin–Madison
asplos,2014,RelaxReplay: record and replay for relaxed-consistency multiprocessors.,NA,University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign
asplos,2014,Prototyping symbolic execution engines for interpreted languages.,EU,École Polytechnique Fédérale de Lausanne; Royal Holloway University of London; École Polytechnique Fédérale de Lausanne
asplos,2014,Q100: the architecture and design of a database processing unit.,NA,Columbia University; Columbia University; Columbia University; Columbia University; Columbia University
asplos,2014,DianNao: a small-footprint high-throughput accelerator for ubiquitous machine-learning.,AS,International Centre for Theoretical Physics Asia-Pacific; International Centre for Theoretical Physics Asia-Pacific; International Centre for Theoretical Physics Asia-Pacific; International Centre for Theoretical Physics Asia-Pacific; International Centre for Theoretical Physics Asia-Pacific; International Centre for Theoretical Physics Asia-Pacific; Inria Saclay - Île de France
asplos,2014,K2: a mobile operating system for heterogeneous coherence domains.,NA,Rice University; Rice University; Rice University
asplos,2014,"Disengaged scheduling for fair, protected access to fast computational accelerators.",NA,University of Rochester; University of Rochester; University of Rochester
asplos,2014,I/o paravirtualization at the device file boundary.,NA,Rice University; Rice University; Rice University; Rice University
asplos,2014,KVM/ARM: the design and implementation of the linux ARM hypervisor.,NA,Columbia University; Columbia University
asplos,2014,VSwapper: a memory swapper for virtualized environments.,AS,Technion – Israel Institute of Technology; Technion – Israel Institute of Technology; Technion – Israel Institute of Technology
asplos,2014,Cider: native execution of iOS apps on android.,NA,Columbia University; Columbia University; Columbia University; Columbia University; Columbia University; Columbia University
asplos,2014,SI-TM: reducing transactional memory abort rates through snapshot isolation.,NA,Stanford University; Stanford University; Menlo School; Menlo School; Stanford University
asplos,2014,Transactionalizing legacy code: an experience report using GCC and Memcached.,NA,Lehigh University; Lehigh University; Lehigh University; Lehigh University
asplos,2014,Fence-free work stealing on bounded TSO processors.,AS,Technion – Israel Institute of Technology; Tel Aviv University
asplos,2014,Heterogeneous-race-free memory models.,NA,Bellevue College; Duke University; Bellevue College; Advanced Micro Devices (United States); University of Wisconsin–Madison; Bellevue College; University of Wisconsin–Madison
asplos,2014,Triple-A: a Non-SSD based autonomic all-flash array for high performance storage systems.,NA,The University of Texas at Dallas; The University of Texas at Dallas; Lawrence Berkeley National Laboratory; Pennsylvania State University
asplos,2014,NVM duet: unified working memory and persistent store architecture.,AS,National Taiwan University; National Taiwan University; National Taiwan University; National Taiwan University; Macronix International (Taiwan)
asplos,2014,SDF: software-defined flash for web-scale internet storage systems.,AS,Baidu (China); Baidu (China); Wayne State University; Baidu (China); Baidu (China); Baidu (China)
asplos,2014,Integrated 3D-stacked server designs for increasing physical density of key-value stores.,NA,University of Michigan; University of Michigan; University of Michigan; University of Michigan; University of Washington; University of Michigan
asplos,2014,"Deterministic galois: on-demand, portable and parameterless.",NA,The University of Texas at Austin; The University of Texas at Austin; The University of Texas at Austin
asplos,2014,Energy-efficient work-stealing language runtimes.,NA,Binghamton University; Binghamton University
asplos,2014,Data-parallel finite-state machines.,NA,Microsoft (United States); Microsoft (United States); Microsoft (United States)
asplos,2014,"Challenging the ""embarrassingly sequential"": parallelizing finite state machine-based computations through principled speculation.",NA,William & Mary; William & Mary; William & Mary
asplos,2014,The sharing architecture: sub-core configurability for IaaS clouds.,NA,Princeton University; Princeton University
asplos,2014,ASC: automatically scalable computation.,NA,Harvard University Press; Harvard University Press; Harvard University Press; Boston University; Harvard University Press
asplos,2014,The benefit of SMT in the multi-core era: flexibility towards degrees of thread-level parallelism.,EU,Ghent University; Ghent University
asplos,2014,Finding the limit: examining the potential and complexity of compilation scheduling for JIT-based runtime systems.,NA,William & Mary; Williams (United States); William & Mary; Williams (United States); William & Mary; Williams (United States); Massachusetts Institute of Technology; William & Mary; Williams (United States)
asplos,2014,Speculative hardware/software co-designed floating-point multiply-add fusion.,NA,Intel (United States); Intel (United States); Intel (United States); Intel (United States); Intel (United States); Intel (United States); Intel (United States)
asplos,2014,Post-compiler software optimization for reducing energy.,NA,University of New Mexico; University of Virginia; University of New Mexico; University of New Mexico; University of Virginia
asplos,2014,"Resolved: specialized architectures, languages, and system software should supplant general-purpose alternatives within a decade.",NA,University of Wisconsin–Madison
asplos,2014,Guardrail: a high fidelity approach to protecting hardware devices from buggy drivers.,NA,Microsoft (United States); Intel (United States); Intel (United States); Carnegie Mellon University
asplos,2014,Low-level detection of language-level data races with LARD.,NA,University of Washington; University of Washington; University of Washington
asplos,2014,EnCore: exploiting system environment and correlation information for misconfiguration detection.,NA,"University of California, San Diego; University of California, San Diego; University of California, San Diego"
asplos,2014,High-performance fractal coherence.,NA,Purdue University West Lafayette; Purdue University West Lafayette
asplos,2014,Locality-oblivious cache organization leveraging single-cycle multi-hop NoCs.,NA,Massachusetts Institute of Technology; Intel (United States); Massachusetts Institute of Technology
asplos,2014,Ubik: efficient cache sharing with strict qos for latency-critical workloads.,NA,Massachusetts Institute of Technology; Massachusetts Institute of Technology
asplos,2014,Architectural support for address translation on GPUs: designing memory management units for CPU/GPUs with unified address spaces.,NA,"Rutgers, The State University of New Jersey; Qualcomm (United Kingdom); Rutgers, The State University of New Jersey"
asplos,2015,Mojim: A Reliable and Highly-Available Non-Volatile Memory System.,NA,"University of California, San Diego; University of California, San Diego; University of California, San Diego; University of California, San Diego"
asplos,2015,SD-PCM: Constructing Reliable Super Dense Phase Change Memory under Write Disturbance.,NA,University of Pittsburgh; University of Pittsburgh; University of Pittsburgh; University of Pittsburgh
asplos,2015,DEUCE: Write-Efficient Encryption for Non-Volatile Memories.,NA,Georgia Institute of Technology; Georgia Institute of Technology; Georgia Institute of Technology
asplos,2015,Temporally Bounding TSO for Fence-Free Asymmetric Synchronization.,AS,Technion – Israel Institute of Technology; Tel Aviv University
asplos,2015,Reduced Hardware NOrec: A Safe and Scalable Hybrid Transactional Memory.,NA,Massachusetts Institute of Technology; Massachusetts Institute of Technology
asplos,2015,Synchronization Using Remote-Scope Promotion.,NA,University of Wisconsin–Madison; Bellevue College; Bellevue College; Bellevue College; University of Wisconsin–Madison; University of Wisconsin–Madison
asplos,2015,GhostRider: A Hardware-Software System for Memory Trace Oblivious Computation.,NA,"University of Maryland, College Park; The University of Texas at Austin; University of California, Berkeley; University of Maryland, College Park; The University of Texas at Austin; University of Maryland, College Park"
asplos,2015,Freecursive ORAM: [Nearly] Free Recursion and Integrity Verification for Position-based Oblivious RAM.,NA,IIT@MIT; IIT@MIT; IIT@MIT; University of Connecticut; IIT@MIT
asplos,2015,Beyond the PDP-11: Architectural Support for a Memory-Safe C Abstract Machine.,EU,University of Cambridge; University of Cambridge; University of Cambridge; University of Cambridge; University of Cambridge; University of Cambridge; University of Cambridge; SRI International; SRI International
asplos,2015,Supporting Differentiated Services in Computers via Programmable Architecture for Resourcing-on-Demand (PARD).,Unknown,State Key Laboratory of Computer Architecture; State Key Laboratory of Computer Architecture; State Key Laboratory of Computer Architecture; State Key Laboratory of Computer Architecture; State Key Laboratory of Computer Architecture; State Key Laboratory of Computer Architecture; State Key Laboratory of Computer Architecture; State Key Laboratory of Computer Architecture; Huawei Technologies (China); Huawei Technologies (China); State Key Laboratory of Computer Architecture; State Key Laboratory of Computer Architecture
asplos,2015,Improving Agility and Elasticity in Bare-metal Clouds.,AS,University of Tsukuba; The University of Tokyo; University of Tsukuba
asplos,2015,Few-to-Many: Incremental Parallelism for Reducing Tail Latency in Interactive Services.,NA,"Rutgers, The State University of New Jersey; University of California, Irvine; Microsoft (United States); Microsoft (United States); Microsoft (United States); Microsoft (United States)"
asplos,2015,Protecting Data on Smartphones and Tablets from Memory Attacks.,NA,University of British Columbia; University of Toronto; University of Toronto; University of Toronto; University of Toronto; Microsoft (United States); Microsoft (United States); Microsoft (United States)
asplos,2015,Nested Kernel: An Operating System Architecture for Intra-Kernel Privilege Separation.,NA,University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Rochester; University of Illinois Urbana-Champaign
asplos,2015,DIABLO: A Warehouse-Scale Computer Network Simulator using FPGAs.,NA,"Berkeley College; University of California, Berkeley; Berkeley College; University of California, Berkeley; Berkeley College; University of California, Berkeley; University of California, Berkeley; Berkeley College; Berkeley College; University of California, Berkeley"
asplos,2015,Sirius: An Open End-to-End Voice and Vision Personal Assistant and Its Implications for Future Warehouse Scale Computers.,NA,University of Michigan; University of Michigan; University of Michigan; University of Michigan; University of Michigan; University of Michigan; University of Michigan; University of Michigan; Universidade Federal da Bahia; University of Michigan; University of Michigan
asplos,2015,Automated OS-level Device Runtime Power Management.,NA,Rice University; Purdue University West Lafayette; Tsinghua University; Rice University
asplos,2015,CoolAir: Temperature- and Variation-Aware Management for Free-Cooled Datacenters.,NA,"Microsoft (United States); Rutgers, The State University of New Jersey; Microsoft (United States)"
asplos,2015,A Probabilistic Graphical Model-based Approach for Minimizing Energy Under Performance Constraints.,NA,University of Chicago; University of Chicago; University of Chicago; University of Chicago
asplos,2015,"More is Less, Less is More: Molecular-Scale Photonic NoC Power Topologies.",NA,Duke University; Duke University; Duke University
asplos,2015,"Memory Errors in Modern Systems: The Good, The Bad, and The Ugly.",NA,Los Alamos National Laboratory; Los Alamos National Laboratory; Sandia National Laboratories; Sandia National Laboratories; Lawrence Berkeley National Laboratory; Advanced Micro Devices (United States)
asplos,2015,CommGuard: Mitigating Communication Errors in Error-Prone Parallel Execution.,NA,Princeton University; Princeton University; Princeton University
asplos,2015,Dual Execution for On the Fly Fine Grained Execution Comparison.,NA,Purdue University West Lafayette; Purdue University West Lafayette; Simon Fraser University; Purdue University West Lafayette; Purdue University West Lafayette
asplos,2015,VARAN the Unbelievable: An Efficient N-version Execution Framework.,EU,Imperial College London; Imperial College London
asplos,2015,rIOMMU: Efficient IOMMU for I/O Devices that Employ Ring Buffers.,AS,Technion – Israel Institute of Technology; Technion – Israel Institute of Technology; Technion – Israel Institute of Technology; Technion – Israel Institute of Technology
asplos,2015,PuDianNao: A Polyvalent Machine Learning Accelerator.,AS,Institute of Computing Technology; Chinese Academy of Sciences; Institute of Computing Technology; Chinese Academy of Sciences; Chinese Academy of Sciences; Institute of Computing Technology; University of Science and Technology of China; Chinese Academy of Sciences; Institute of Computing Technology; Institute of Computing Technology; Chinese Academy of Sciences; University of Science and Technology of China; Center for Excellence in Brain Science and Intelligence Technology; Institute of Computing Technology; Chinese Academy of Sciences
asplos,2015,ApproxHadoop: Bringing Approximations to MapReduce Frameworks.,NA,"Microsoft (United States); Microsoft (United States); Rutgers, The State University of New Jersey; Rutgers, The State University of New Jersey"
asplos,2015,Monitoring and Debugging the Quality of Results in Approximate Programs.,NA,University of Washington; University of Washington; Cornell University; University of Washington; University of Washington
asplos,2015,Ziria: A DSL for Wireless Systems Programming.,NA,Princeton University; University of Illinois Urbana-Champaign; Drexel University; Microsoft (United States); Microsoft (United States); Universitat Politècnica de Catalunya
asplos,2015,PolyMage: Automatic Optimization for Image Processing Pipelines.,AS,Indian Institute of Science Bangalore; Indian Institute of Science Bangalore; Indian Institute of Science Bangalore
asplos,2015,Compiler Management of Communication and Parallelism for Quantum Computation.,NA,"University of California, Santa Barbara; Princeton University; Princeton University; Cornell University; University of California, Santa Barbara; Georgia Institute of Technology; University of California, Santa Barbara; University of California, Santa Barbara; Princeton University"
asplos,2015,Kinetic Dependence Graphs.,NA,The University of Texas at Austin; The University of Texas at Austin; The University of Texas at Austin
asplos,2015,Targeted Automatic Integer Overflow Discovery Using Goal-Directed Conditional Branch Enforcement.,,
asplos,2015,Architectural Support for Software-Defined Metadata Processing.,NA,"University of Pennsylvania; Institut national de recherche en sciences et technologies du numérique; University of Pennsylvania; University of Pennsylvania; BAE Systems (Sweden); University of Pennsylvania; Ginkgo Bioworks, Inc. (United States); University of Pennsylvania; University of Pennsylvania"
asplos,2015,A Hardware Design Language for Timing-Sensitive Information-Flow Security.,NA,Cornell University; Cornell University; Cornell University; Cornell University
asplos,2015,SPECS: A Lightweight Runtime Mechanism for Protecting Software from Security-Critical Processor Bugs.,NA,University of Michigan; University of North Carolina at Chapel Hill; Twitter (United States); Philadelphia University; University of Pennsylvania
asplos,2015,Asymmetric Memory Fences: Optimizing Both Performance and Implementability.,NA,University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign
asplos,2015,DeNovoSync: Efficient Support for Arbitrary Synchronization without Writer-Initiated Invalidations.,NA,University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign
asplos,2015,Hybrid Static: Dynamic Analysis for Statically Bounded Region Serializability.,NA,The Ohio State University; The Ohio State University; The Ohio State University; The Ohio State University; Purdue University West Lafayette
asplos,2015,GPU Concurrency: Weak Behaviours and Programming Assumptions.,EU,Microsoft Research (United Kingdom); University College London; University of Cambridge; Imperial College London; University of Utah; Imperial College London; University of Oxford; University College London; Imperial College London
